Nodal Displacements:
Node 0: Ux=0.000000e+00 mm, Uy=0.000000e+00 mm, Uz=1.850465e-01 mm, Rx=-0.000000e+00 rad, Ry=1.427238e-04 rad, Rz=-0.000000e+00 rad
Node 1: Ux=6.160356e-03 mm, Uy=0.000000e+00 mm, Uz=1.745087e-01 mm, Rx=0.000000e+00 rad, Ry=7.091437e-05 rad, Rz=0.000000e+00 rad
Node 2: Ux=-1.818251e-02 mm, Uy=-0.000000e+00 mm, Uz=2.075958e-01 mm, Rx=0.000000e+00 rad, Ry=-5.557812e-04 rad, Rz=0.000000e+00 rad
Node 3: Ux=-1.197883e-01 mm, Uy=-0.000000e+00 mm, Uz=5.994983e-02 mm, Rx=0.000000e+00 rad, Ry=-8.390739e-04 rad, Rz=0.000000e+00 rad
Node 4: Ux=-1.593069e-01 mm, Uy=0.000000e+00 mm, Uz=2.535606e-03 mm, Rx=0.000000e+00 rad, Ry=-6.756313e-04 rad, Rz=-0.000000e+00 rad
Node 5: Ux=0.000000e+00 mm, Uy=0.000000e+00 mm, Uz=3.143605e-01 mm, Rx=-0.000000e+00 rad, Ry=7.816900e-04 rad, Rz=-0.000000e+00 rad
Node 6: Ux=4.231285e-02 mm, Uy=-0.000000e+00 mm, Uz=2.509908e-01 mm, Rx=0.000000e+00 rad, Ry=6.658268e-04 rad, Rz=0.000000e+00 rad
Node 7: Ux=7.168197e-02 mm, Uy=-0.000000e+00 mm, Uz=2.060589e-01 mm, Rx=-0.000000e+00 rad, Ry=-3.454795e-04 rad, Rz=0.000000e+00 rad
Node 8: Ux=-1.954977e-02 mm, Uy=-0.000000e+00 mm, Uz=6.527892e-02 mm, Rx=-0.000000e+00 rad, Ry=-8.831523e-04 rad, Rz=-0.000000e+00 rad
Node 9: Ux=-1.103331e-01 mm, Uy=-0.000000e+00 mm, Uz=2.458113e-03 mm, Rx=0.000000e+00 rad, Ry=-6.050572e-04 rad, Rz=-0.000000e+00 rad
Node 10: Ux=-5.978510e-02 mm, Uy=-0.000000e+00 mm, Uz=3.449069e-03 mm, Rx=0.000000e+00 rad, Ry=-7.110539e-04 rad, Rz=-0.000000e+00 rad
Node 11: Ux=-2.155740e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.677817e-03 mm, Rx=-0.000000e+00 rad, Ry=-1.858855e-05 rad, Rz=-0.000000e+00 rad
Node 12: Ux=-2.159851e-01 mm, Uy=-0.000000e+00 mm, Uz=3.321360e-03 mm, Rx=0.000000e+00 rad, Ry=3.847505e-05 rad, Rz=0.000000e+00 rad
Node 13: Ux=-2.157493e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.077980e-02 mm, Rx=0.000000e+00 rad, Ry=-2.621443e-05 rad, Rz=0.000000e+00 rad
Node 14: Ux=-2.145141e-01 mm, Uy=-0.000000e+00 mm, Uz=-2.431750e-02 mm, Rx=0.000000e+00 rad, Ry=4.771122e-05 rad, Rz=0.000000e+00 rad
Node 15: Ux=-2.129956e-01 mm, Uy=0.000000e+00 mm, Uz=-1.657058e-02 mm, Rx=-0.000000e+00 rad, Ry=-1.456644e-05 rad, Rz=-0.000000e+00 rad
Node 16: Ux=-1.369262e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.710129e-02 mm, Rx=0.000000e+00 rad, Ry=-2.624872e-04 rad, Rz=0.000000e+00 rad
Node 17: Ux=-1.560712e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.668133e-02 mm, Rx=0.000000e+00 rad, Ry=-2.603068e-04 rad, Rz=0.000000e+00 rad
Node 18: Ux=-1.165504e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.765835e-02 mm, Rx=0.000000e+00 rad, Ry=-2.767128e-04 rad, Rz=-0.000000e+00 rad
Node 19: Ux=-1.381991e-01 mm, Uy=-0.000000e+00 mm, Uz=-4.046181e-02 mm, Rx=-0.000000e+00 rad, Ry=-3.808015e-04 rad, Rz=0.000000e+00 rad
Node 20: Ux=-8.703143e-02 mm, Uy=0.000000e+00 mm, Uz=-1.094228e-01 mm, Rx=-0.000000e+00 rad, Ry=-2.662179e-04 rad, Rz=0.000000e+00 rad
Node 21: Ux=-3.224741e-02 mm, Uy=0.000000e+00 mm, Uz=-4.152336e-02 mm, Rx=0.000000e+00 rad, Ry=-4.941758e-04 rad, Rz=0.000000e+00 rad
Node 22: Ux=0.000000e+00 mm, Uy=-0.000000e+00 mm, Uz=0.000000e+00 mm, Rx=0.000000e+00 rad, Ry=-5.202601e-04 rad, Rz=-0.000000e+00 rad
Node 23: Ux=-1.011975e-01 mm, Uy=0.000000e+00 mm, Uz=-4.215736e-02 mm, Rx=0.000000e+00 rad, Ry=-3.505474e-04 rad, Rz=0.000000e+00 rad
Node 24: Ux=-6.130889e-02 mm, Uy=0.000000e+00 mm, Uz=-1.056975e-01 mm, Rx=-0.000000e+00 rad, Ry=-2.289720e-04 rad, Rz=0.000000e+00 rad
Node 25: Ux=-2.355797e-02 mm, Uy=0.000000e+00 mm, Uz=-3.966766e-02 mm, Rx=-0.000000e+00 rad, Ry=-4.335541e-04 rad, Rz=0.000000e+00 rad
